Vernier Format 2
Untitled.cmbl 06-Sep-22 15:12:07 .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

0.02	0.229011	0.353936111111	0.436010416667
0.04	0.235982	0.361599305556	0.488665509259
0.06	0.243247	0.373531666667	0.512087384259
0.08	0.250981	0.383144444444	0.488413001543
0.1	0.258576	0.393033333333	0.468375964506
0.12	0.266725	0.401856944444	0.454022376543
0.14	0.274685	0.409305555556	0.523948688272
0.16	0.282956	0.423095833333	0.581855709877
0.18	0.291678	0.434123611111	0.567370756173
0.2	0.300296	0.445966666667	0.544295910494
0.22	0.309555	0.456277777778	0.511415895062
0.24	0.318624	0.463609722222	0.600358796296
0.26	0.327884	0.480269444444	0.690445601852
0.28	0.337906	0.494090277778	0.659648919753
0.3	0.347686	0.506086111111	0.661491126543
0.32	0.358159	0.5193375	0.686201774691
0.34	0.368477	0.531691666667	0.685787037037
0.36	0.37895	0.558391666667	0.156199845679
0.38	0.391556	0.550980555556	-0.848800154321
0.4	0.401995	0.501686111111	-0.834922839506
0.42	0.410509	0.497904166667	0.0779571759259
0.44	0.421364	0.519913888889	0.438213734568
0.46	0.431872	0.523668055556	0.405516975309
0.48	0.442172	0.532408333333	0.430486111111
0.5	0.453096	0.542452777778	0.378188657407
0.52	0.464003	0.5475625	0.332667824074
0.54	0.47491	0.555845833333	0.275434027778
0.56	0.486337	0.559288888889	0.193908179012
0.58	0.497296	0.562009722222	0.190096450617
0.6	0.508775	0.5665125	0.212320601852
0.62	0.519994	0.569741666667	0.273383487654
0.64	0.531456	0.577731944444	0.327428626543
0.66	0.54316	0.5838	0.346371527778
0.68	0.55483	0.589779166667	0.430270061728
0.7	0.566604	0.601433333333	0.489807098765
0.72	0.578915	0.6124	0.424984567901
0.74	0.591262	0.616831944444	0.414947916667
0.76	0.603417	0.627709722222	0.45928433642
0.78	0.616405	0.637409722222	0.423368055556
0.8	0.629028	0.642825	0.45859375
0.82	0.641929	0.655643055556	0.497320601852
0.84	0.65535	0.664754166667	0.458863811728
0.86	0.668581	0.671786111111	0.503670910494
0.88	0.682054	0.685288888889	0.524336419753
0.9	0.696082	0.6951125	0.446097608025
0.92	0.709919	0.702247222222	0.398294753086
0.94	0.724121	0.710748611111	0.37197337963
0.96	0.738426	0.716431944444	0.389770447531
0.98	0.752732	0.724404166667	0.487530864198
1	0.76728	0.737572222222	0.507471064815
1.02	0.782331	0.746872222222	0.386294367284
1.04	0.797174	0.754636111111	0.024380787037
1.06	0.812538	0.759302777778	-1.28362268519
1.08	0.82771	0.736293055556	-4.60070987654
1.1	0.842917	0.633920833333	-10.5371199846
1.12	0.857396	0.317305555556	-15.9969888117
1.14	0.858385	-0.125209722222	-15.4810570988
1.16	0.848882	-0.407665277778	-9.57950617284
1.18	0.83827	-0.494479166667	-3.76290895062
1.2	0.828126	-0.500130555556	-0.650173611111
1.22	0.818243	-0.487590277778	0.425841049383
1.24	0.808601	-0.472659722222	0.613389274691
1.26	0.799377	-0.460351388889	0.52321566358
1.28	0.790221	-0.450680555556	0.361425540123
1.3	0.781464	-0.446338888889	0.229770447531
1.32	0.77243	-0.444981944444	0.256267361111
1.34	0.763483	-0.436509722222	0.324180169753
1.36	0.755038	-0.4300375	0.332044753086
1.38	0.746368	-0.426230555556	0.464953703704
1.4	0.73775	-0.412095833333	0.619905478395
1.42	0.729912	-0.3984375	0.642775848765
1.44	0.721849	-0.385906944444	0.62756558642
1.46	0.714445	-0.372706944444	0.579529320988
1.48	0.707041	-0.363509722222	0.567955246914
1.5	0.699845	-0.351716666667	0.619633487654
1.52	0.692874	-0.336572222222	0.582148919753
1.54	0.68651	-0.326426388889	0.462810570988
1.56	0.679921	-0.32105	0.462366898148
1.58	0.673488	-0.308551388889	0.493624614198
1.6	0.667662	-0.299481944444	0.456853780864
1.62	0.661523	-0.290958333333	0.454135802469
1.64	0.656009	-0.281679166667	0.473142361111
1.66	0.650304	-0.273941666667	0.573148148148
1.68	0.64486	-0.258126388889	0.645773533951
1.7	0.640056	-0.245105555556	0.590092592593
1.72	0.635166	-0.236348611111	0.593290895062
1.74	0.630433	-0.221518055556	0.59880787037
1.76	0.626392	-0.210083333333	0.517193287037
1.78	0.622144	-0.203188888889	0.524226466049
1.8	0.618069	-0.189122222222	0.533101851852
1.82	0.614688	-0.179368055556	0.452139274691
1.84	0.611012	-0.174005555556	0.487901234568
1.86	0.607509	-0.160305555556	0.541655092593
1.88	0.604665	-0.149243055556	0.486454475309
1.9	0.601683	-0.1431	0.525588348765
1.92	0.598787	-0.130797222222	0.664782021605
1.94	0.596342	-0.113595833333	0.683171296296
1.96	0.594383	-0.101723611111	0.610908564815
1.98	0.59225	-0.0897583333333	0.549863040123
2	0.590811	-0.0790472222222	0.468061342593
